episode,timestep,reward
41,1000,23.3171
92,2000,20.4314
126,3000,29.3529
157,4000,31.9355
172,5000,61.6
188,6000,68.0625
192,7000,195.0
197,8000,231.6
202,9000,195.0
206,10000,234.25
209,11000,349.6667
212,12000,289.6667
216,13000,307.75
218,14000,302.5
220,15000,500.0
222,16000,500.0
224,17000,475.5
226,18000,500.0
228,19000,500.0
230,20000,500.0
232,21000,500.0
234,22000,500.0
236,23000,500.0
238,24000,500.0
240,25000,500.0
242,26000,500.0
244,27000,500.0
246,28000,500.0
248,29000,500.0
250,30000,500.0
252,31000,500.0
254,32000,500.0
256,33000,500.0
258,34000,500.0
260,35000,500.0
262,36000,500.0
264,37000,500.0
266,38000,500.0
268,39000,500.0
270,40000,500.0
272,41000,500.0
274,42000,500.0
276,43000,500.0
278,44000,500.0
280,45000,500.0
282,46000,500.0
284,47000,500.0
286,48000,500.0
288,49000,500.0
290,50000,500.0
